46 is my number|Sapphire respawn, level 46 wilderness.
'Small Shoe' often found with rod on mushroom.|Speak to one of the Gnome trainers at the agility arena in the Gnome Stronghold.
Snah? I feel all confused like one of those cakes...|Speak with Hans in Lumbridge Castle.
Someone watching the fights in the Duel Arena is your next destination.|Speak to Jeed (female) in the middle of the Duel Arena East of Al-Kharid.
Speak to a referee.|Speak to a referee at the Gnome-Ball course in the Gnome Stronghold.
**Stand by your man.|Kill the man downstairs to get the key for the chest.
Surprising? I bet he is...|Talk with Sir Prysin on the ground floor of Varrock Castle.
This aviator is at the peak of his profession|Speak to the gnome on White Wolf's mountain, at the gnome glider.
The beasts to my east snap claws and tails|Dig at the torch between the penguins and scorpions in Ardougne Zoo.
The crate in the ground floor of a church is your next location.|Crate next to the ladder in the church in East Ardougne.
The Keeper of Melzars... Spare? Skeleton? Anar?|Speak with Oziach (the seller of rune plates), north of the Barbarian Village, west of Edgeville.
There is no "worthier" lord.|Lord Iowerth in the elven camp. You must have started the Regicide Quest and have at least level agility 56 to access this area.
The dead red dragon watches over this chest. He must really dig the view.|Search the chest across the room facing the dragon's head in the Digsite building where the archeological expert is. Go kill a male barbarian in Barbarian Village for the key.
This village has a problem with cartloads of the undead.|Shilo Village, search the bookcase in the house on the North side of the river.
The cheapest water for miles around but they react badly with religious icons.|Bandit camp in the desert South of Al-Kharid, search the boxes in the general store.
This crate holds a better reward than a broken arrow.|Search the crates behind the armour salesman in the Ranger's Guild.
This crate is mine, all mine, even if it is in the middle of the desert.|Search the crate next to the mining cart in the Desert Mining Camp, in the desert to the South of Al-Kharid.
Try not to step on any aquatic nasties while searching this crate.|Sea slug fishing platform, search the crate inside the house to the West (the house with the range).
Wait til I get my hands on Penda, he's nicked the key again|Go to the bar Southwest of Dunstan's house and kill Penda for the key to the drawers.
When no weapons are at hand, now it is time to reflect|Drawers in the house with glassblowing pipe spawn on Entrana
When you get tired of fighting, go deep, deep down until you need an antidote.|Yanille Agility Dungeon, downstairs. Go down into the area with the poison spiders and search the crate next to the stairs leading up.
You'll need to look for a town with a central fountain.|Chest in Varrock chapel. Go to the Monastery just Southeast of the Clocktower and kill a monk for the key.
You will need to under-cook to solve this one.|Search the crates in the Lumbridge Castle's basement
You have all of the elements available to solve this clue.|Search the crates downstairs in the anvil house to the West of the Bank in Seers' Village, the same house where you do the Elemental Workshop quest. The crates are just to the North of the anvil bench closest to the Air Elemental room where the bellows are.
After a hard slays spraying the vegetation, why not pop off to the nearby forge and search the crates?|Lost City, near the furnace.
After trawling for bars, go to the nearest place to smith them and dig by the door.|Port Khazard smithy, dig right outside door.
As you desert this town,keep an eye out for a set of spinesthat could ruin nearby rugs: dig carefully around the greenery.|Nardah, just west of the magic carpet guy, dig near two cacti.
Being this far north has meant that these crates have escaped being battled over.|In the Ruins on the north side of Khazard Battlefield, just south of West Ardougne's walls.
Brush off the sand and then dig in the quarry. There is a wheel handy barrow to the east. Don't worry, its coal to dig there - in fact, it's all oclay.|Desert Granite Quarry near Enakhra's Lament start point. Dig near wheelbarrow.
By the town of the dead, walk south down a rickety bridge, then dig near the slime-covered tree.|Just west of the northern entrance to Port Phasmatys there is a small bridge. Cross it and the tree is closest to you.
Dig here if you are not feeling too well after travelling through the desert. Ali heartily recommends it.|Dig next to the well in Pollnivneach near Ali the Mayor.
Don't try to skip here, it's too muddy. You'll feel like a star if you dig here, though.|Dig on the starfish south of the Mudskipper Fairy Ring.
For any aspiring mage, I'm sure searching this bookcase will be a rewarding experience.|Search the bookcase on the east wall next to the rewards guardian in the Mage Training Arena.
Hay! Stop and admire the scenery, just like the tourism promoter says.|At the Inn at the bottom of Baxtorian falls, search the hay bale inside the round building.
If you didn't want to be here and in danger, you should lever things well enough alone.|Pull the wildy lever in Ardougne, then dig. Beware of revenants.
Navigating to this crate will be a trial.|South Rellekka, Swensen the Navigator's house, search the crate.
North of the best monkey restaurant on Karamja, look for the centre of the triangle of boats and search there.|The "monkey restaurant" is the banana plantation on Karamja. The dock next to it has a crate and 3 boats.
Observe: in the crate just north of the stairs leading down, you will find the answer.|Inside the Observatory north of Castle Wars, there is a crate north of the "stairs leading down" (back out of the Observatory).
Sophind yourself some treasure by searching these boxes.|Search the stacked boxes by the bridge in Sophanem, north of the altar.
The gnomes' nearby cart must have collapsed under the weight of all the treasure in these boxes!|West of the Making History quest start (south of Gnome Stronghold), it's the boxes west of the cart.
The owner of this crate has a hunch that he put more than fish inside.|Beach south of Brimhaven where Lubufu is fishing for karambwan.
The rock cakes to the south are definitely more edible than the two rocks I buried the treasure between.|In Gu´Tanoth, dig between two heaps of rocks just north of the Rock cake stall. (Requires starting Watchtower quest.)
The socks in these drawers are holier than thine, according to the tonsured owners.|Northeast corner of the Monastery (west of Edgeville). You will need to kill a Zamorak monk to get a key. (Chaos Temple west of Goblin Village is one location.)
The treasure is buried in a small house full of bones. Here's a Hint: It's not near a graveyard.|South west house at Rag and Bone Man quest start (north of limestone mine on road east of Varrock to Salve Temple). Dig just south of box of bones.
This crate clearly marks the end of the line for coal.|Search the crate to the north of the entrance to the coal trucks area in Seers Village.
This cupboard has treasure, pirate pots and corsair cutlery!|Search the cupboard in the kitchen east of the Dead Man's Chest pirate bar in Brimhaven.
This temple is rather sluggish. The chest just inside the entrance, however, is filled with goodies.|"Family Crest" (and slug) dungeon east of Ardougne, west of Witchaven. The chest is just inside the door.
Throat mage seeks companionship. Seek answers inside my furniture if interested.|Search the drawers upstairs in the Necromancer's Tower south of Ardougne.
Try not to let yourself be dazzled when you search these drawers.|East Ardougne (near the gate to West Ardougne) search the drawers in Jimmy Dazzler's house near the pub.
While a sea view is nice, it seems this church has not seen visitors in a while. Dig outside the rim of the window for a reward.|Dig outside the big window (west side) at Rimmington church.
You'll need to have dug deep into the distant past to get to these sacks.|At the digsite use a rope with the northeast winch and search the sacks on the northwest wall. (Requires Digsite quest.)
You can cook food on me, but don't cook any foodles - that would just be wrong.|Fire near Captain Klemfoodle at Karamja glider location.
You don't need to go hopping mad - or take steps - to get to this treasure: just be totally shellfish.|North of Barbarian Outpost near the jumping stones, dig on the shell on the ground.
You will need to wash the old ash off your spade when you dig here, but the only water nearby is stagnant.|Dig near the Stagnant Lake on Braindeath Island. (Requires starting Rum Deal quest.)
Though I'm light, I can not illuminate the dark.|Feather
Completed I can make you dead, but currently I have no head.|Headless Arrow
I am water that brings fire to your heart.|Firebreath whiskey
Without me, a deathslinger is merely a gorajo with a stick.|Bowstring
Though my friends fly high, I was always destined to protect.|Novite kiteshield
Remove my yellow skin, and dine on me within.|Banana
While many call me mould, some call me savoury.|Gissel mushroom
The slowest of assassins, I'm at home on your blade or in your drink.|Weapon Poison
From your veins I flow, from essence did I grow.|Blood Rune
Born through fire, I'm lost in winds and muddied in water.|Ashes
Sticks and stones may break me, exercise may ache me.|Bones
I demonstrate faith in a dark god.|Unholy Symbol
Without me you cannot survive / would perish, but fill a room with me and you would surely die.|Vial of Water
I am cursed with but one eye. And from Haystacks I will spy.|Needle
A serpent am I, yet on land I would die.|Any Eel
I pluck the denizens of the sea, to serve a salty sailor's tea.|Fly fishing rod
I can get you almost anything you want, but with no one to accept me, I am worthless.|Coins
The blunt force I provide is surprisingly constructive.|Hammer
